Window_Size,N_Peaks,Overlap,Skip_First_K_Freqs,Selection_Method,Significance,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
50,5,13,2,deviation,0.1,0.00121531,0.000690703,0.0209864,0.00296335,3.23982,00:57
50,3,13,2,deviation,0.1,0.00121531,0.000690703,0.0210229,0.00296335,2.03828,00:51
30,5,8,3,none,0.001,0.00121329,0.000662346,0.0900365,0.00196504,2.1426,01:14
30,0,8,3,none,0.001,0.00121329,0.000662346,0.0898906,0.00196469,3.57626,01:14
40,5,30,3,none,0.001,0.00120316,0.000688677,0.238359,0.00148975,3.05874,02:38
40,0,30,3,none,0.001,0.00120113,0.000686652,0.238493,0.00148578,3.0638,03:25
40,3,20,2,none,0.01,0.00119708,0.000636014,0.251325,0.0011132,5.90541,05:28
40,3,10,2,none,0.1,0.00119506,0.00061981,0.297185,0.0013337,10.57,06:48
40,3,30,3,absolute,0.001,0.00117885,0.000680575,0.234671,0.00151179,2.87786,02:22
40,0,30,3,absolute,0.001,0.0011748,0.00067855,0.234912,0.00150529,2.88698,02:34
40,5,30,3,absolute,0.001,0.0011748,0.00067855,0.234912,0.00150529,2.88698,02:32
40,5,20,2,deviation,0.1,0.00117075,0.00064209,0.0275471,0.00328686,0.395989,00:31
40,3,20,2,deviation,0.1,0.00117075,0.00064209,0.0275471,0.00328686,0.395989,00:34
40,0,10,2,deviation,0.1,0.00115455,0.000688677,0.0218736,0.00340757,5.56228,01:06
40,3,10,2,deviation,0.1,0.00115455,0.000688677,0.0219445,0.00340786,1.95402,00:44
40,5,10,2,deviation,0.1,0.00115455,0.000688677,0.021908,0.00340785,3.15678,00:49
50,3,25,2,absolute,0.1,0.00115252,0.000567146,0.38999,0.00120105,31.937,13:17
30,5,8,2,absolute,0.001,0.0011505,0.000650192,0.114308,0.00181792,0.91189,01:02
30,3,8,2,absolute,0.001,0.0011505,0.000650192,0.114221,0.00182061,0.910674,01:04
30,0,8,2,absolute,0.001,0.0011505,0.000650192,0.114308,0.00181792,0.91189,01:23
50,3,25,3,absolute,0.1,0.00114239,0.000569172,0.38368,0.00118453,29.3648,12:42
50,3,25,2,deviation,5.,0.00112619,0.00054284,0.334339,0.00114317,24.8534,10:47
50,5,25,2,deviation,5.,0.00112619,0.000538789,0.336415,0.00113426,25.6097,12:06
50,0,25,2,deviation,5.,0.00111809,0.000534738,0.336704,0.00112977,25.6534,12:09
30,3,8,2,none,0.01,0.00109986,0.000536763,0.143044,0.00107568,3.58801,04:32
40,0,20,0,deviation,0.1,0.00109378,0.000579299,0.0298481,0.00260659,0.409966,00:34
40,0,20,1,deviation,0.1,0.00109378,0.000579299,0.0298481,0.00260659,0.409966,00:35
50,5,25,3,absolute,0.1,0.00108973,0.000552967,0.392878,0.00113132,33.6727,14:03
50,0,25,3,absolute,0.1,0.00108771,0.000550942,0.393034,0.00112915,33.8163,14:17
50,3,13,2,none,0.1,0.00108365,0.000538789,0.294691,0.00109504,13.1857,08:40
30,3,15,0,deviation,0.1,0.00108163,0.000702856,0.0265971,0.00571472,0.227264,00:21
30,5,15,0,deviation,0.1,0.00108163,0.000702856,0.0265971,0.00571472,0.227264,00:21
30,3,15,1,deviation,0.1,0.00108163,0.000702856,0.0265971,0.00571472,0.227264,00:20
30,0,15,0,deviation,0.1,0.00108163,0.000702856,0.0265971,0.00571472,0.227264,00:21
30,0,15,1,deviation,0.1,0.00108163,0.000702856,0.0265971,0.00571472,0.227264,00:22
30,5,15,1,deviation,0.1,0.00108163,0.000702856,0.0265971,0.00571472,0.227264,00:20
40,3,20,2,none,0.001,0.00106948,0.000538789,0.176465,0.00114721,3.16974,04:49
40,3,20,3,none,0.1,0.00106745,0.000520559,0.323146,0.00118867,11.9787,05:45
50,3,13,3,deviation,0.01,0.00106745,0.000747417,0.000245088,0.00488352,1.60442,00:34
50,5,13,3,deviation,0.01,0.00106745,0.000747417,0.000236986,0.00488352,2.67025,00:42
50,0,13,3,deviation,0.01,0.00106745,0.000747417,0.000228884,0.00488348,5.86773,01:05
