Window_Size,N_Peaks,Overlap,Hash_Use_First_Appearance,Quantile,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
40,3,20,True,.6,0.000178246,6.27912e-05,0.503998,0.000276411,575.493,00:23
20,5,0,False,.9,0.00017622,3.03828e-05,0.287391,0.000276448,1071.53,00:25
20,5,0,True,.9,0.00017622,3.03828e-05,0.287391,0.000276448,1071.53,00:24
30,3,15,False,.6,0.000174195,5.26636e-05,0.45207,0.000266249,684.033,00:23
50,5,13,False,.6,0.000174195,4.2536e-05,0.522001,0.000264177,672.286,00:24
50,5,13,True,.6,0.000174195,4.2536e-05,0.522001,0.000264177,672.286,00:23
30,3,15,True,.6,0.000174195,5.26636e-05,0.45207,0.000266249,684.033,00:23
30,5,15,False,.4,0.000164067,5.46891e-05,0.472475,0.000264511,453.64,00:23
30,5,15,True,.4,0.000164067,5.46891e-05,0.472475,0.000264511,453.64,00:21
40,5,20,False,.4,0.000164067,5.46891e-05,0.513208,0.000266884,496.597,00:24
40,5,20,True,.4,0.000164067,5.46891e-05,0.513208,0.000266884,496.597,00:24
40,3,0,True,.6,0.000162042,5.46891e-05,0.491513,0.000280159,298.501,00:25
40,3,0,False,.6,0.000162042,5.46891e-05,0.491513,0.000280159,298.501,00:23
40,5,10,False,.6,0.000162042,4.45615e-05,0.521537,0.000257115,722.928,00:24
40,5,10,True,.6,0.000162042,4.45615e-05,0.521537,0.000257115,722.928,00:25
50,5,0,False,.7,0.000160016,4.05104e-05,0.529864,0.000253053,692.958,00:24
50,5,0,True,.7,0.000160016,4.05104e-05,0.529864,0.000253053,692.958,00:24
50,3,25,False,.9,0.000157991,3.84849e-05,0.41845,0.000259428,1398.66,00:24
50,3,25,True,.9,0.000157991,3.84849e-05,0.41845,0.000259428,1398.66,00:23
40,3,0,True,.7,0.000157991,4.86125e-05,0.497081,0.000258457,450.59,00:25
40,3,0,False,.7,0.000157991,4.86125e-05,0.497081,0.000258457,450.59,00:23
20,3,0,True,.4,0.000157991,5.87401e-05,0.474843,0.000259462,178.115,00:23
20,3,0,False,.4,0.000157991,5.87401e-05,0.474843,0.000259462,178.115,00:23
30,5,0,True,.9,0.000155965,2.43063e-05,0.329587,0.000259511,1306.84,00:23
30,5,0,False,.9,0.000155965,2.43063e-05,0.329587,0.000259511,1306.84,00:23
50,3,38,False,.6,0.000155965,3.64594e-05,0.508019,0.000254334,912.363,00:22
30,5,8,True,.4,0.000155965,4.86125e-05,0.498985,0.00026028,320.15,00:23
30,5,8,False,.4,0.000155965,4.86125e-05,0.498985,0.00026028,320.15,00:24
50,3,38,True,.6,0.000155965,3.64594e-05,0.508019,0.000254334,912.363,00:21
50,5,38,False,.4,0.00015394,4.2536e-05,0.528854,0.000252041,913.047,00:24
30,5,0,True,.5,0.00015394,5.26636e-05,0.477055,0.000258019,365.99,00:23
50,5,38,True,.4,0.00015394,4.2536e-05,0.528854,0.000252041,913.047,00:23
30,5,0,False,.5,0.00015394,5.26636e-05,0.477055,0.000258019,365.99,00:23
40,5,20,False,.5,0.000151914,4.45615e-05,0.505876,0.000255017,770.095,00:24
40,5,20,True,.5,0.000151914,4.45615e-05,0.505876,0.000255017,770.095,00:24
40,5,30,True,.4,0.000151914,3.64594e-05,0.512386,0.000248756,884.665,00:24
40,5,30,False,.4,0.000151914,3.64594e-05,0.512386,0.000248756,884.665,00:24
30,3,0,False,.6,0.000149889,4.45615e-05,0.464343,0.000254661,353.997,00:23
30,3,0,True,.6,0.000149889,4.45615e-05,0.464343,0.000254661,353.997,00:23
30,5,15,True,.5,0.000149889,4.2536e-05,0.452907,0.000250305,695.812,00:21
30,5,15,False,.5,0.000149889,4.2536e-05,0.452907,0.000250305,695.812,00:23
30,5,23,True,.4,0.000147863,3.24083e-05,0.470138,0.000243082,831.724,00:23
30,5,23,False,.4,0.000147863,3.24083e-05,0.470138,0.000243082,831.724,00:24
50,3,13,True,.7,0.000145838,3.84849e-05,0.494414,0.000251706,522.29,00:24
50,3,13,False,.7,0.000145838,3.84849e-05,0.494414,0.000251706,522.29,00:23
30,5,15,False,.6,0.000145838,3.24083e-05,0.420405,0.000247031,989.412,00:23
40,5,20,False,.6,0.000145838,3.03828e-05,0.489994,0.000247026,1086.87,00:24
