Window_Size,N_Peaks,Overlap,Skip_First_K_Freqs,Selection_Method,Significance,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
30,5,15,1,deviation,0.01,0.000437513,0.000168118,0.338939,0.000518306,12.2113,06:37
30,5,15,1,deviation,0.001,0.000437513,0.000168118,0.338939,0.000518306,12.2113,06:20
30,0,15,0,deviation,0.001,0.000437513,0.000168118,0.338939,0.000518305,12.2113,06:24
30,0,15,0,deviation,0.01,0.000437513,0.000168118,0.338939,0.000518305,12.2113,06:31
30,3,15,1,deviation,0.01,0.000437513,0.000168118,0.338876,0.000518839,12.1722,06:54
30,3,15,1,deviation,0.001,0.000437513,0.000168118,0.338876,0.000518839,12.1722,07:07
30,0,15,2,deviation,0.001,0.000409155,0.000155965,0.336654,0.000495897,12.045,06:25
30,0,15,2,deviation,0.01,0.000409155,0.000155965,0.336654,0.000495897,12.045,06:35
30,3,15,2,deviation,0.01,0.000409155,0.000155965,0.336601,0.00049643,12.0057,06:31
30,3,15,2,deviation,0.001,0.000409155,0.000155965,0.336601,0.00049643,12.0057,07:02
30,5,15,2,deviation,0.001,0.000409155,0.000155965,0.336654,0.000495898,12.045,06:14
30,5,15,2,deviation,0.01,0.000409155,0.000155965,0.336654,0.000495898,12.045,06:38
30,3,23,0,deviation,0.001,0.000202552,7.89953e-05,0.44206,0.000294941,45.2696,28:14
30,3,23,0,deviation,0.01,0.000202552,7.89953e-05,0.44206,0.000294941,45.2696,27:58
30,3,23,1,deviation,0.001,0.000202552,7.89953e-05,0.44206,0.000294941,45.2696,26:39
30,3,23,1,deviation,0.01,0.000202552,7.89953e-05,0.44206,0.000294941,45.2696,27:18
30,0,23,1,deviation,0.001,0.000202552,7.89953e-05,0.442263,0.000294625,45.3885,25:54
30,0,23,1,deviation,0.01,0.000202552,7.89953e-05,0.442263,0.000294625,45.3885,26:43
30,0,23,0,deviation,0.001,0.000202552,7.89953e-05,0.442263,0.000294625,45.3885,26:35
30,0,23,0,deviation,0.01,0.000202552,7.89953e-05,0.442263,0.000294625,45.3885,25:49
30,5,23,0,deviation,0.01,0.000202552,7.89953e-05,0.44226,0.000294625,45.3879,29:05
30,5,23,0,deviation,0.001,0.000202552,7.89953e-05,0.44226,0.000294625,45.3879,29:01
30,5,23,1,deviation,0.01,0.000202552,7.89953e-05,0.44226,0.000294625,45.3879,28:13
30,5,23,1,deviation,0.001,0.000202552,7.89953e-05,0.44226,0.000294625,45.3879,28:06
30,5,23,3,deviation,0.001,0.000143812,5.0638e-05,0.433433,0.000256283,39.6808,22:04
30,5,23,3,deviation,0.01,0.000143812,5.0638e-05,0.433433,0.000256283,39.6808,21:36
30,0,23,3,deviation,0.01,0.000143812,5.0638e-05,0.433433,0.000256283,39.6812,20:53
30,0,23,3,deviation,0.001,0.000143812,5.0638e-05,0.433433,0.000256283,39.6812,20:26
30,3,23,3,deviation,0.001,0.000143812,5.0638e-05,0.433283,0.000256623,39.5671,22:03
30,3,23,3,deviation,0.01,0.000143812,5.0638e-05,0.433283,0.000256623,39.5671,22:15
30,0,23,2,deviation,0.001,0.000129633,3.44339e-05,0.44431,0.000233588,45.8268,27:46
30,0,23,2,deviation,0.01,0.000129633,3.44339e-05,0.44431,0.000233588,45.8268,28:18
30,3,23,2,deviation,0.001,0.000129633,3.44339e-05,0.444171,0.00023367,45.7075,27:52
30,3,23,2,deviation,0.01,0.000129633,3.44339e-05,0.444171,0.00023367,45.7075,30:35
30,5,23,2,deviation,0.001,0.000129633,3.44339e-05,0.444308,0.000233588,45.8262,29:27
30,5,23,2,deviation,0.01,0.000129633,3.44339e-05,0.444308,0.000233588,45.8262,30:43

